NoseLength,WingAngle,Distance,,
A1,B1,19,,
A1,B1,33,,
A1,B1,24,,
A1,B1,21,,
A1,B1,20,,
A1,B1,10,,
A1,B1,10,,
A1,B1,7,,
A1,B1,16,,
A1,B1,14,,
A1,B1,26,,
A1,B1,24,,
A1,B1,19,,
A1,B1,34,,
A1,B1,34,,
A1,B2,20,,
A1,B2,12,,
A1,B2,14,,
A1,B2,24,,
A1,B2,18,,
A1,B2,21,,
A1,B2,16,,
A1,B2,17,,
A1,B2,24,,
A1,B2,22,,
A1,B2,19,,
A1,B2,19,,
A1,B2,24,,
A1,B2,16,,
A1,B2,25,,
A1,B3,38,,
A1,B3,26,,
A1,B3,20,,
A1,B3,31,,
A1,B3,28,,
A1,B3,23,,
A1,B3,14,,
A1,B3,15,,
A1,B3,22,,
A1,B3,21,,
A1,B3,22,,
A1,B3,24,,
A1,B3,25,,
A1,B3,18,,
A1,B3,29,,
A2,B1,10,,
A2,B1,19,,
A2,B1,18,,
A2,B1,10,,
A2,B1,19,,
A2,B1,10,,
A2,B1,22,,
A2,B1,9,,
A2,B1,14,,
A2,B1,12,,
A2,B1,10,,
A2,B1,12,,
A2,B1,9,,
A2,B1,10,,
A2,B1,11,,
A2,B2,26,,
A2,B2,18,,
A2,B2,16,,
A2,B2,21,,
A2,B2,18,,
A2,B2,14,,
A2,B2,7,,
A2,B2,20,,
A2,B2,21,,
A2,B2,9,,
A2,B2,17,,
A2,B2,20,,
A2,B2,20,,
A2,B2,25,,
A2,B2,19,,
A2,B3,21,,
A2,B3,19,,
A2,B3,25,,
A2,B3,35,,
A2,B3,14,,
A2,B3,13,,
A2,B3,16,,
A2,B3,12,,
A2,B3,20,,
A2,B3,20,,
A2,B3,27,,
A2,B3,24,,
A2,B3,22,,
A2,B3,26,,
A2,B3,24,,
A3,B1,8,,
A3,B1,19,,
A3,B1,13,,
A3,B1,9,,
A3,B1,6,,
A3,B1,22,,
A3,B1,13,,
A3,B1,8,,
A3,B1,15,,
A3,B1,10,,
A3,B1,19,,
A3,B1,7,,
A3,B1,9,,
A3,B1,11,,
A3,B1,16,,
A3,B2,22,,
A3,B2,17,,
A3,B2,18,,
A3,B2,26,,
A3,B2,22,,
A3,B2,19,,
A3,B2,15,,
A3,B2,11,,
A3,B2,19,,
A3,B2,21,,
A3,B2,16,,
A3,B2,12,,
A3,B2,15,,
A3,B2,19,,
A3,B2,19,,
A3,B3,23,,
A3,B3,20,,
A3,B3,19,,
A3,B3,19,,
A3,B3,30,,
A3,B3,28,,
A3,B3,18,,
A3,B3,10,,
A3,B3,22,,
A3,B3,20,,
A3,B3,9,,
A3,B3,15,,
A3,B3,13,,
A3,B3,18,,
A3,B3,14,,
,,,,
,,,,
,,,,
,,,,
